employee_id,employee_name,tasks_completed,average_task_quality,projects_led,client_satisfaction_score,hours_worked,deadline_met_score,innovation_score,efficiency_score,performance_rating
1001,Employee 1001,37,6.0,0,67.0,34,5.0,1.0,7.0,Low
1002,Employee 1002,55,5.0,0,66.0,45,6.0,7.0,6.0,Low
1003,Employee 1003,28,7.0,3,60.0,49,5.0,2.0,9.0,Low
1004,Employee 1004,29,7.0,0,82.0,33,5.0,6.0,9.0,Low
1005,Employee 1005,26,7.0,2,88.0,49,5.0,2.0,5.0,Low
1006,Employee 1006,35,5.0,4,56.0,46,8.0,2.0,8.0,Low
1007,Employee 1007,51,8.0,0,57.0,33,6.0,9.0,5.0,Low
1008,Employee 1008,22,5.0,2,61.0,44,9.0,6.0,7.0,Low
1009,Employee 1009,51,7.0,0,69.0,46,9.0,9.0,8.0,Low
1010,Employee 1010,53,6.0,4,73.0,40,7.0,3.0,9.0,Low
1011,Employee 1011,30,6.0,3,88.0,30,7.0,3.0,8.0,Low
1012,Employee 1012,47,5.0,1,93.0,37,9.0,1.0,8.0,Low
1013,Employee 1013,54,5.0,1,97.0,33,6.0,5.0,5.0,Low
1014,Employee 1014,34,5.0,1,50.0,49,7.0,1.0,9.0,Low
1015,Employee 1015,40,6.0,1,72.0,33,8.0,1.0,8.0,Low
1016,Employee 1016,29,7.0,3,84.0,31,6.0,4.0,6.0,Low
1017,Employee 1017,31,5.0,0,99.0,46,7.0,8.0,6.0,Low
1018,Employee 1018,32,5.0,0,93.0,49,7.0,6.0,9.0,Low
1019,Employee 1019,43,9.0,2,55.0,44,5.0,6.0,7.0,Low
1020,Employee 1020,43,5.0,0,61.0,34,7.0,1.0,6.0,Low
1021,Employee 1021,54,8.0,4,85.0,47,5.0,1.0,7.0,Low
1022,Employee 1022,25,7.0,1,84.0,35,7.0,9.0,8.0,Low
1023,Employee 1023,22,6.0,2,60.0,39,6.0,1.0,5.0,Low
1024,Employee 1024,56,5.0,1,54.0,38,6.0,7.0,5.0,Low
1025,Employee 1025,34,5.0,3,79.0,33,5.0,5.0,8.0,Low
1026,Employee 1026,36,7.0,4,89.0,38,8.0,1.0,8.0,Low
1027,Employee 1027,50,7.0,1,88.0,44,8.0,5.0,8.0,Low
1028,Employee 1028,40,7.0,0,62.0,41,8.0,6.0,5.0,Low
1029,Employee 1029,44,5.0,4,96.0,30,7.0,6.0,5.0,Low
1030,Employee 1030,55,8.0,3,85.0,36,7.0,7.0,5.0,Low
1031,Employee 1031,23,7.0,4,97.0,47,8.0,6.0,8.0,Low
1032,Employee 1032,50,9.0,4,59.0,32,8.0,4.0,5.0,Low
1033,Employee 1033,25,8.0,4,70.0,42,6.0,3.0,8.0,Low
1034,Employee 1034,21,9.0,4,53.0,41,6.0,1.0,5.0,Low
1035,Employee 1035,52,6.0,0,88.0,42,6.0,6.0,5.0,Low
1036,Employee 1036,40,6.0,4,78.0,39,6.0,8.0,6.0,Low
1037,Employee 1037,59,8.0,3,57.0,47,6.0,7.0,9.0,Low
1038,Employee 1038,50,5.0,1,59.0,43,5.0,9.0,7.0,Low
